nom,lat,lon,comarca,altitud,temperatura,temp_max,temp_min,humitat,precipitacio,vent,data
Parets del Vallès,41.5673,2.22615,Vallès Oriental,118,28.8,29.6,18.2,35.0,0.0,3.8,2026-05-31T11:00:00.000
Perafita,42.03947,2.11993,Lluçanès,777,26.2,26.2,14.9,44.0,0.0,2.2,2026-05-31T11:00:00.000
Pinós,41.80483,1.53853,Solsonès,660,28.5,28.5,14.9,36.0,0.0,,2026-05-31T11:00:00.000
Port de Barcelona - ZAL Prat,41.31928,2.1372,Baix Llobregat,5,25.6,25.6,19.4,68.0,0.0,1.8,2026-05-31T11:00:00.000
Portbou - coll dels Belitres,42.43514,3.16619,Alt Empordà,198,26.2,28.4,21.7,58.0,0.0,5.1,2026-05-31T11:00:00.000
Prades,41.31481,0.98161,Baix Camp,927,26.9,26.9,8.7,41.0,0.0,,2026-05-31T11:00:00.000
Puig Sesolles (1.666 m),41.77362,2.43774,Vallès Oriental,1666,18.6,18.6,13.7,61.0,0.0,5.1,2026-05-31T11:00:00.000
Puigcerdà,42.44013,1.93482,Cerdanya,1214,25.2,25.2,9.9,32.0,0.1,1.2,2026-05-31T11:00:00.000
Pujalt,41.71735,1.42404,Anoia,748,27.2,27.2,18.8,40.0,0.0,2.3,2026-05-31T11:00:00.000
Raimat,41.68325,0.44871,Segrià,286,27.7,27.7,14.6,47.0,0.0,2.0,2026-05-31T11:00:00.000
Rellinars,41.63285,1.91718,Vallès Occidental,429,29.7,29.7,15.5,33.0,0.0,,2026-05-31T11:00:00.000
Riudecanyes,41.12267,0.96958,Baix Camp,171,29.5,29.8,17.6,46.0,0.0,3.1,2026-05-31T11:00:00.000
Roses,42.27068,3.18147,Alt Empordà,23,28.2,28.2,17.3,55.0,0.0,2.5,2026-05-31T11:00:00.000
Sabadell - Parc Agrari,41.56568,2.06955,Vallès Occidental,259,28.7,28.8,15.6,48.0,0.0,3.4,2026-05-31T11:00:00.000
Salòria (2.451 m),42.51939,1.36597,Pallars Sobirà,2451,14.8,14.8,9.9,26.0,0.0,6.5,2026-05-31T11:00:00.000
Sant Cugat del Vallès - CAR,41.48318,2.07947,Vallès Occidental,157,28.4,28.7,16.8,43.0,0.0,2.3,2026-05-31T11:00:00.000
Sant Llorenç Savall,41.68136,2.02655,Vallès Occidental,530,28.0,28.0,13.5,40.0,0.0,1.3,2026-05-31T11:00:00.000
